"","X","FOLIOVIV","FOLIOHOG","tam_loc","sexo_jefe","edad_jefe","educa_jefe","tot_integ","p12_64","p65mas","remesas","ing_cor","int0a12","int12a64","int65a98","depdemog","muj12a49","tot_per","ltot_per","p_esc3","p_esc5b","trab_sub","trab_ind","trab_s_pago","seg_alim2","seg_alim3","seg_alim_a","seg_pop","ss","jtrab_ind","ssjtrabind","con_remesas","viv_prop","viv_rent","tot_cuar","bao13","piso_fir","piso_rec","combustible","sin_refri","sin_vehi","sin_compu","sin_vidvd","sin_telef","sin_horno","factor","rururb","tamhogesc","ict","ictpc","finalMemb_rur"
"1111",1111,1060089309,1,4,1,25,5,3,2,0,0,19814.54,0,2,0,0,1,2,0.693147180559945,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,1,1,1,0,164,1,2.6921,5653.03834554,2100.4904890383,5
"1112",1112,1060089311,1,4,1,38,5,4,3,0,0,28951.53,1,3,0,0.333333333333333,2,4,1.38629436111989,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,164,1,3.4654,8662.78464981,2500.50500658221,1
"1113",1113,1060089413,1,4,1,67,3,1,0,1,0,12667.36,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,1,1,1,1,1,164,1,1,3452.2445949,3452.2445949,5
"1114",1114,1060089414,1,4,1,32,6,6,2,0,0,23237.99,4,2,0,2,1,6,1.79175946922805,0,0,1,1,0,0,0,0,6,6,0,0,0,1,0,4,1,1,0,0,0,0,1,0,1,0,164,1,4.9067,6663.53623922,1358.84462861394,4
"1115",1115,1060089417,1,4,1,24,6,3,2,0,733.69,8935.29,0,2,0,0,1,2,0.693147180559945,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,5,1,1,0,0,0,0,1,0,0,0,164,1,2.4033,2223.74409144,925.871672883119,5
"1116",1116,1060089418,1,4,1,42,4,5,4,0,0,20719.69,1,4,0,0.25,3,5,1.6094379124341,0,1,2,0,0,0,0,0,5,5,0,0,0,0,0,2,0,1,0,1,1,1,1,0,1,0,164,1,4.1386,5749.7524258,1390.05727197603,4
"1117",1117,1060089519,1,4,1,85,3,2,1,1,0,20970.08,0,1,1,1,0,2,0.693147180559945,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,6,1,0,1,0,0,0,1,0,0,1,164,1,1.989,6177.15227498,3106.15448716943,5
"1118",1118,1060089521,1,4,1,73,3,2,0,2,0,19016.83,0,0,2,0,0,2,0.693147180559945,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,4,0,1,0,0,0,1,1,1,0,1,164,1,1.989,4659.27948291,2343.0208561639,5
"1119",1119,1060089522,1,4,2,39,4,2,2,0,0,9264.29,0,2,0,0,2,2,0.693147180559945,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,0,1,1,1,1,1,164,1,1.7002,1684.0931924,990.938355722856,5
"1120",1120,1060118602,1,4,1,37,5,2,2,0,0,52939.7,0,2,0,0,1,2,0.693147180559945,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,3,1,1,0,0,0,0,1,1,1,0,192,1,1.989,15510.77402565,7798.77477408245,5
"1121",1121,1060118603,1,4,1,47,3,4,4,0,0,45599.15,0,4,0,0,0,4,1.38629436111989,1,1,1,1,0,0,0,0,3,4,0,0,0,1,0,3,0,1,0,1,0,0,0,1,1,1,192,1,3.6892,12761.74986367,3459.94770239347,4
"1122",1122,1060118605,1,4,1,54,1,3,3,0,0,50931.19,0,3,0,0,1,3,1.09861228866811,0,0,1,1,0,0,0,0,3,1,1,1,0,1,0,3,1,1,0,1,0,0,1,0,0,0,192,1,2.6947,12290.2725327,4561.53457999035,1
"1123",1123,1060118606,1,4,1,30,4,5,2,0,0,39587.59,3,2,0,1.5,1,5,1.6094379124341,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,3,1,1,0,1,0,0,1,0,1,0,192,1,4.1685,9859.93970323,2366.10488262684,4
